f,T0,V0,V1,V2,V3,V4,V5,V6,phi1,phi2,phi3,phi4,phi5,phi6
2_07_O_p000_300_T09_Probe_1_(A1128).csv,9,-0.010232952101720228,27.920067927099808,0.18287350597435817,4.401651562042062,0.1842514687291836,0.2281510405842745,0.24881023753428486,0.0,6.228896064220287,4.8858946267490175,4.638149052372684,3.130993663551,1.1091286800149511
2_07_O_p000_400_T09_Probe_1_(A1128).csv,9,-0.6189049220863335,53.616912638295936,0.4186363271648502,7.943768491486613,0.4442926163376443,0.7867695143266965,0.18616570232573532,0.0,0.4860034691735247,4.688910548693378,4.0319755851975545,4.259884855885685,0.7171066109497497
2_07_O_p000_500_T09_Probe_1_(A1128).csv,9,-1.4741329174514155,88.44798434391458,1.0145442846703598,10.115800525623678,0.21842480145733115,0.4424408272944399,0.27447847658365554,0.0,0.4255968127447798,4.7258137279182675,1.3153608892535633,5.027351598246588,4.2303274164981595
2_07_O_p000_600_T09_Probe_1_(A1128).csv,9,-0.8921231177723697,124.5050515363078,1.8340523434978875,14.413002271508656,0.5688125597018672,2.221557878377995,0.4872383727090807,0.0,0.4844275372956279,4.747139748088813,0.8597466543954254,4.8498616921836755,3.255598527572081
2_07_O_p000_700_T09_Probe_1_(A1128).csv,9,-1.5163657251259142,169.15961770858146,1.9300859397073091,17.272342056803325,0.6966003733866096,2.5327562410980353,1.2634992674280014,0.0,1.61181010791786,4.709551359798318,3.0047538177388518,5.579937162354237,5.179874098717107
2_07_O_p000_100_T12_Probe_1_(A1128).csv,12,-0.02245168683577857,5.305871343032221,0.0036906174140306173,0.4681233106639306,0.09216057499954566,0.03108790240834494,0.03293980876760397,0.0,3.8408924791069543,5.98126628556057,4.720139152309812,4.450096056166863,0.7448309884517497
2_07_O_p000_200_T12_Probe_1_(A1128).csv,12,0.05402479296035387,22.901102821252586,0.1945874340687172,2.8312281458871835,0.06792963889304,0.058660712582108185,0.0647269052521483,0.0,1.1998998821321865,5.866016723288006,1.3149039845235855,3.2456673051279,4.951454412017374
2_07_O_p000_300_T12_Probe_1_(A1128).csv,12,-0.1397067284781277,49.05910847640909,0.23057429625031436,6.539201752818329,0.1837955185501905,0.1341829237572827,0.15488368785901394,0.0,0.31833750222358725,5.854463132621671,3.4580956601824338,1.0956064540971955,2.028077783248309
2_07_O_p000_400_T12_Probe_1_(A1128).csv,12,-1.0663667907236725,82.26747653281993,0.8196732345841135,10.530290406141658,0.6231461558234513,1.0900131585662667,0.1842690387251621,0.0,0.10231003628428681,5.803806922703231,0.6020405051622736,0.6220325073815521,3.7763913936953966
2_07_O_p000_500_T12_Probe_1_(A1128).csv,12,-1.340593587191117,121.13904960417938,0.7556819073292382,14.274219263938836,0.34803337139390145,1.21416396995824,0.1840458029364494,0.0,0.8003174692981104,5.5421480305058175,1.9458508314688536,0.15708535813369712,3.48084490010137
2_07_O_p000_600_T12_Probe_1_(A1128).csv,12,-1.1977145179952102,157.02551004482913,1.9132579321930498,20.211265546796778,0.9281603846015034,2.934289985086144,0.9951223421683251,0.0,1.122349118033624,5.516038984531502,3.1308071169879557,0.2764840711731255,4.295267795520125
2_07_O_p000_700_T12_Probe_1_(A1128).csv,12,0.32875522461014484,202.9048457187923,0.8105910993994743,21.95966614175875,1.9202802014602358,3.1200886965947565,1.0878282608203604,0.0,3.068411067808151,5.187513117297672,4.3624686849544965,5.40432378026405,0.8907679218028307
